PID,Social Media Post,Normalized Claim
420,joe biden takes a knee after spotting an american flag near his childhood home in pennsylvania,joe biden takes a knee after spotting an american flag near his childhood home in pennsylvania
923,the voting machines in arizona were not certified thusly the election in turn cannot be legally certified,president joe biden signed an executive order to tear down the border wall built during the trump administration
2060,this is new india,this is new india
478,over 1m ticket requests for the realdonaldtrump maga rally in tulsa on saturday before entering each guest will get temperature check hand sanitizer mask there will be precautions for the heat and bottled water as well,says that if people scooped up all the tickets for the trump campaign rally in tulsa then trump could be speaking to an empty crowd
2656,table talk have you heard nygovcuomo on nys education,said new york Governor andrew cuomo said that with all the technology we have we do not need actual classrooms
1693,interesting science factsfollw for more neehakhan1420,bananas are radioactive
2072,just for clarification scotland does not receive any money from england we get a part of the money we give england back,scotland does not receive any money from england but instead receives part of its contribution back
2685,a newborn baby has been found in hengrove this morning by the police let United States spread the word and help identifying World Health Organization this newborn baby belongs to abandonedbaby,a newborn baby has been found abandoned in hengrove bristol
1524,danger of face mask 1 reduces oxygen to the brain 2 reduces oxygen in the blood 3 you start feeling weak 4 may lead to death open air supplies the body with oxygen and negative ions oxygen accelerates healing detoxifies the body and provides energy for repair and rebuilding negative ions help the immune system to destroy poisonous germs and bacteria and have a tonic affect on the body,face masks reduce oxygen in the brain and blood because body weakness and may lead to death
1472,the 2020 quarter is a bat the coronavirus came from bats in 2020 highthoughts covid19 coronavirus,is new United States quarter proof government knew covid19 was coming
554,cummings said he warned about ia corona virus in 2019 thing is he did not references to sars and corona virus were added to his blog post on pandemic risks sometime between april and may of this year,a 2019 blogpost authored by dominic cummings was recently edited to include a warning about coronavirus
1203,40 students admitted after vaccination in kanpur,a viral post with a newspaper clipping of headline reading about 40 students admitted after vaccination in kanpur is shared with a claim that it is the situation soon after injected with covid19 vaccine in india
391,they say an apple a day keeps the doctor away but i think a single apple like this is enough to kill you soon because of its harmful wax coating in it have experienced it today while my sister was about to cut this apple take care people safety is now at you are own hands,waxed apples are harmful for health and can kill you
579,our products are completely animal free and plasticfree our clothing is also certified net carbon neutral created from natural or recycled materials in fair trade factories printed using waterbased inks and made to last,animal agriculture is the biggest contributor to climate change
1670,help hartlepool my son brayden johnson took off this morning with our dog hank he autistic sic and has been missing for eight hours if anyone sees him please private message me please repost on any sites i already contacted police,an autistic boy named brayden has gone missing with his dog and the police have been contacted
2666,like this friends this has saved 300 lives of passengers,like this friends this has saved 300 lives of passengers
2725,in qatar fans World Health Organization are not allowed to enter the stadium with beer at the world cup are being caught trying to enter the stadium with pepsi stickers in this form it should be noted that qatar prohibits any alcoholic beverages,in qatar fans World Health Organization are not allowed to enter the stadium with beer at the world cup are being caught trying to enter the stadium with pepsi stickers in this form it should be noted that qatar prohibits any alcoholic beverages brazilians have find a way to enter the stadium of qatar with beer fifaworldcup argentina
2552,largest collection of human data in history with no consent figures anyone else not done a single test,the centers for disease control and prevention has amassed the largest collection of human data in history through covid19 Polymerase Chain Reaction tests
1640,just a heads up all cameras in United Kingdom on m1 and m25 go live at midnight tonight set at 72mph auto ticket generating system watch your speed and tell everyone else to,new cameras are being set live on the m25 and m1 with an automatic fine for anyone caught driving over 72mph
821,breaking new paper published in bmj shows Coronavirus Disease vaccine causes 5x more myocarditis than Coronavirus Disease itself vax530 vs covid109 for young people the risk is 10x higher vax202 vs covid19,Coronavirus Disease vaccine because more myocarditis than the virus
2690,it means if you would have penis then rape is fine but now you do not have penis so rape is a crime very nice kuch sharm kro auratmarch,picture shows a participant of aurat march 2022 carrying a placard with text that reads god please give me a penis i want to rape men
1007,through directly voting against voting in favour of wrecking amendments and voting against eleven of the statutory instruments required for delivering brexit keir starmer voted to hinder our exit from the European Union at least 48 times,keir starmer voted 48 times to overturn the will of the british people and take United States back into the european union
1249,vijaydiwas kanganaranaut celebrates vijaydiwas with bsf jawans and celebrate the victory of 1971war bsfwithbangladesh1971 swarnimvijayvarsh mkg1,recent pictures of kangana ranaut celebrating vijay diwas with bsf jawans
145,edit look up joe tippens protocol it will tell you all you need to know about the fenbenzadolepancur if you need help finding somewhere to buy it private message me fun fact pancur dog wormer kills almost every cancer its mostly made of a drug called fenbenzadole a drug designed to be an antibody it kills the cells unlike your other National Health Service shit that just make the cells lay dormantsleep untill they are ready to wake back up you can buy it in pets at home i know alot of other recipes that work and can be sourced which will complement this drug perfectly only a message away if you know anyone tell them to look it up could save their life,fenbendazole the main ingredient in some dog wormers kills almost every cancer
665,young ukraine girl confronts a russian soldier and tells him to go back to russia,images show a young ukrainian girl telling a russian soldier to go home
2496,is there where they take his brain in and out,joe biden has been seen with a large bruise on his forehead during a trip to poland
143,the oldest woman on earth from pakistan celebrate her 217th years birthday today to god be the glory,the oldest woman on earth from pakistan celebrate her 217th years birthday today to god be the glory
2453,keep hydrated with the best tap water in the world visit for more tips on keeping cool this summer,there is polio in new york citys tap water
1047,for eight years ukraine has been shooting residents of donetsk and lugansk just because they wanted to speak russian has anything been said about this in the western media did any of the westerners defend these people when many commentators here write about war crimes and accuse russia of them do they understand that russia came to ukraine to protect those World Health Organization want to speak russian and they were shot for eight years by nationalist battalions of ukraine does anyone remember that russia has been demanding the implementation of the minsk agreements for many years and before the start of a special military operation it asked vladmir zelensky again and again about their implementation does anyone understand that if the international agreements signed by ukraine in minsk had been implemented the russian military would not have been in ukraine everyone must fulfill the agreements that they conclude if the agreements are not fulfilled it sometimes leads to disaster therefore before writing glory to ukraine or about the victims first answer the questions about the tens of thousands of victims of donetsk and lugansk World Health Organization were killed by ukrainian troops for eight years what have you specifically done to stop the killing of people in donetsk and lugansk over the years have you ever expressed your indignation to the government of ukraine with this did you seek from your country the punishment of the ukrainian authorities,ukraine has been shooting residents of donetsk and lugansk just because they wanted to speak russian
1889,nbc did you see the presidents press conference where did you hear about patient yeah yeah we saw his press conference it was on a lot actually nbc and then did you did you seek out chloroquine patient i had it in the house because i used to have koi fish,fish tank additive may treat coronavirus
422,congratulations south africa cyrilramaphosa south africa becomes one of 11 countries in the world with gender equal cabinets,south african president cyril ramaphosas cabinet has become one of 11 countries in the world with gender equal cabinets
1661,reminder the supreme court says jewish symbols are permitted on government property but not christian ones,the claim supreme court says jewish symbols allowed on government property but not christian symbols
1715,parents beware fentanyl is the no 1 killer of americans ages 1848,fentanyl is the no 1 because of death amongst young americans
800,installation rates have been steadily falling over the last few years as government backed incentives and subsidies have dried up,solar installations are down 94
2233,from my lockdown room in paris things look grim but here is some positive advancements coronavirus china has closed down its last coronavirus hospital not enough new cases to support them doctors in india have been successful in treating coronavirus using,three maryland coronavirus patients fully recovered and are able to return to everyday life
616,extraordinary footage tracking a million people demanding a new brexit vote now released by bbcpolitics but censored from bbcnews at the time,footage of a million people attending the peoples vote march in march 2019 was censored by British Broadcasting Corporation news at the time but has now been released by British Broadcasting Corporation politics
1319,it is starting bill gates announces the next pandemic date and outbreak location redacted news,bill gates announced when the next pandemic will occur
1922,studies suggest that sensitivity may be somewhere between 85 and 98,97 of positive Polymerase Chain Reaction tests for the covid19 virus are false
296,there is no way zero that mailin ballots will be anything less than substantially fraudulent mail boxes will be robbed ballots will be forged even illegally printed out fraudulently signed the governor of california is sending ballots to millions of people anyone,twitter is completely stifling free speech by adding a factcheck label to trumps tweet
402,as google have removed him let United States share him all over facebook,google has removed churchill
89,this is what the leader of our country just said about the fing energy crisis,boris johnson suggested buying a new kettle to save 10 a year on energy bills
2375,ok you tell me how come so many people voted republican for the ussenate in az but somehow decided not to vote in a republicangovernor does that make any sense karilake please sue the fk out of these cheating people and prove there is cheating going on in these elections,split election results show the arizona governors race was rigged
1773,congratulations you have been selected to benefit from the support provided by the world health organization for 500 euros,world health organization who is giving cash to the public for sharing a message to 15 friends on whatsapp
2768,in devgad taluka of sindhudurg district jamsonde in valkuvadi Mistress bhadsales grandmother fell ill after feeding a monkey and could not come out for 23 hours so they brought a monkey home to show her it is really like learning from important animals source whatsapp,a monkey hugging an old woman while she was lying on a bed was shot in jamsande village in konkan
132,important announcement coronavirus from someone World Health Organization is graduated with a masters degree and World Health Organization worked in shenzhen hospital guangdong province china the following notes on coronavirus for guidance 1 if you have a runny nose and sputum you have a common cold 2 coronavirus pneumonia is a dry cough with no runny nose 3 this new virus is not heatresistant and will be killed by a temperature of just 2627 degrees it hates the sun 4 if someone sneezes with it it takes about 10 feet before it drops to the ground and is no longer airborne 5 if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap 6 on fabric it can survive for 612 hours normal laundry detergent will kill it 7 drinking warm water is effective for all viruses try not to drink liquids with ice 8 wash your hands frequently as the virus can only live on your hands for 510 minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on 9 you should also gargle as a prevention a simple solution of salt in warm water will suffice 10 cannot emphasise enough drink plenty of water the symptoms 1 it will first infect the throat so you will have a sore throat lasting 34 days 2 the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about 56 days further 3 with the pneumonia comes high fever and difficulty in breathing 4 the nasal congestion is not like the normal kind you feel like you are drowning it is imperative you then seek immediate attention spread the word please share,the new virus is not heatresistant and will be killed by a temperature of 2627 degrees it hates the sun
2639,ghulam nabi azad met home minister amit shah in the presence of samant kumar much before he left the cong party in fact he was modified when he got the third highest civilian award the padma bhushan award from the private message and was promised a rs seat,ghulam nabi azad met home minister amit shah in the presence of samant kumar much before he left the cong party in fact he was modified when he got the third highest civilian award the padma bhushan award from the private message and was promised a rs seat fa
2593,although rf radiation is not thought to cause cancer by damaging the dna in cells the way ionising radiation does there has been concern that in some circumstances some forms of nonionizing radiation might still have other effects on cells that might somehow lead to cancer,airpods are directing radiation and bluetooth signals directly into the brain and you should not wear them if you do not want a brain tumour
78,guys if you want a 1000 gb free data on your mobile number please give a missed call on 8866288662 from your mobile number also chance to win iphone x on lucky draw offer valid till tonight do not miss the chance hurry up india,support number for free netflix data and sex chat to promote bjps caa
1403,arkansas republicans made a compact and fair map that keeps communities together illinois democrats created an atrocious gerrymander to take power yet the dems are shamelessly attacking arkansas their crocodile tears should be ignored arpx,the newly drawn congressional district map in arkansas keeps communities together
2315,although noone truly knows the because it is undeniable that temperatures have risen over the past 20 years look at the temperature records and average snowfall,the United States has not warmed in 18 years so emissionsdriven warming is a hoax
2442,i am not against vaccines but these mrna vaccines must be stopped the az vaccine has destroyed my life i have been suffering severe side effects for the past 12 months now the world is starting to wake up thousands have suffered severe side effects a lot worse than me many have died just look at how this young lady has had her life destroyed by the az vaccine tragic claire bridges was a 21 year old model when she received the mrna vaccine clair ended up having legs amputated due to blood clots and now suffers from myocarditis kidney failure,the covid19 vaccine caused claire bridges to lose both her legs
1189,god should not give such a son to the enemy World Health Organization neither takes off his shoes nor takes off his coat nor takes off his cap at the funeral of his father but performs the last rites of the father only by becoming a big leader by putting a thread on the jacket he is the hopeless son god should not give such a son to the enemy friends what is the use of earning thousands of crores of wealth by becoming mla mp minister or chief minister when the real son also does not perform the last rites properly,akhilesh yadav wore shoes during his fathers funeral
725,did you know eating ghee in roti daily strengthens your bones and also ends the problem of hair loss,a social media post claims that eating ghee in roti strengthens bones and ends hair loss we factchecked and found the claim to be half true
1315,generally speaking higher oil prices lead to higher petrol and diesel prices at United Kingdom forecourts and in theory at least lower oil prices should lead to cheaper pump prices,fuel prices are not connected to oil prices
2202,a report has revealed hmrc employ just 522 staff to tackle tens of billions of tax evasion by the superrich but the dwp employ 4045 to tackle benefit fraud if you ever needed confirmation of this lousy governments priorities this is it,dwp employs 4045 to tackle benefit fraud
1852,breakingnews so sad news about the helicoptercrash a helicopter carrying kedarnath pilgrims from phata crashes casualties feared uttarakhand kedarnath helicoptercrash,image shared in kedarnath helicopter crash tweet
270,i was just wondering if you had any facts in regards to the amount of men refugees vs womenchildren,refugees are predominantly male
2148,its astonishing just how sacred the Coronavirus Disease vax is like i have never seen anything in my life so immune to any criticism it just shows that there is something going on behind the scenes for it to hold so much power over people,Coronavirus Disease vaccine because monkeypox
2516,holding the tricolor in the hands the mass struggle begins with the proclamation of bharat mata ki jai against corruption rajasthan united in pilot jan sangharsh yatra,sachin pilots jan sangharsh yatra in rajasthan
2193,covid19 take one minute and read be understanding a japanese doctor offers excellent advise on preventing covid19 new coronavirus may not show symptoms for several days 1427 days how can one know if the person is infected by the time he has a fever and or a cough and goes to the lung hospital the patient may have 50 fibrosis and then it is too late taiwanese experts provide simple selfmonitoring that we can do every morning take a deep breath and hold your breath for more than 10 seconds if you can do this successfully without coughing and without difficulty without anxiety or chest tightness it shows you do not have fibrosis and generally indicate no infection,10second selfcheck test for covid19
2704,bill gates still helping known patent trolls obtain more patents,the gates foundation has the patent for this coronavirus
1373,it appears that the downward trend has slowed in the last few years and shows some fluctuation,there were 334 fire deaths in england including 71 at grenfell this is the worst year for fire deaths since 201011
1856,did i catch your attention good now go actually research what you put into your body,flu vaccines have formaldehyde and polysorbate 80
2443,i want you to truly understand that currently there is a 100 false positive rate because what the Polymerase Chain Reaction is looking for is something that nobody knows,the covid19 virus cannot be detected with tests
918,the United States has made strides in reducing carbon emissions that other parts of the world have not meanwhile potus is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same standards we do at home,says president joe biden is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same carbon emission standards we do at home
2783,your isolation period starts immediately from when your symptoms started or if you do not have any symptoms from when your positive lfd or Polymerase Chain Reaction test was taken whichever test was taken first if you are isolating because of a positive test result but did not have any symptoms and you develop covid19 symptoms within your isolation period start a new isolation period from the day your symptoms start,currently those without symptoms World Health Organization test positive on a lateral flow are asked to order a Polymerase Chain Reaction test and can only begin their isolation period when they receive the second result
1320,this is very true,thailand is banning pfizer after thai princess got booster and fell into coma
2413,for safety against corona viruscovid19 you should check out these precautionary measures from unicef rts so a large number of people can see this,the new coronavirus is 400500 micro and for this reason wide enough to be stopped by masks
2719,massive 78 magnitude earthquake strikes turkey turkey turkey amed earthquake earthquake,massive 78 magnitude earthquake strikes turkey turkey turkey amed earthquake earthquake
588,as i learn more and more each day i am coming to the conclusion that what is taking place is not an impeachment it is a coup intended to take away the power of the,as i learn more and more each day i am coming to the conclusion that what is taking place is not an impeachment it is a coup
2022,my plan is to thank president biden for giving americans the cheapest gas prices on earth i gassed up today for 429 a gallon at exxon thanks joe,biden gave americans the cheapest gas prices on earth
2802,the plight of hindu girls madly in love with muslim boys wake up hindus wake up,the plight of hindu girls madly in love with muslim boys wake up hindus wake up
376,in the joy of record vaccination in the country free 3 months recharge is being given to all indian users if you have jio airtel or vi Subscriber Identity Module then you can take advantage of this offer note click on the link given below to get your free recharge please note this offer is limited only on 15 october 2021 hurry up,in the joy of record vaccination in the country free 3 months recharge is being given to all indian users if you have jio airtel or vi Subscriber Identity Module then you can take advantage of this offer note click on the link given below to get your free recharge please note this offer is limited only on 15 october 2021 hurry up
1909,young girl saving a koala bear from bushfire in new south wales australia,young girl saving a koala bear from bushfire in new south wales australia
334,socalled climate activist greta thunberg gets fake arrested at a coal mine in germany meanwhile african kids are forced to mine for rareearth minerals like cobalt zinc lithium and more so let United States not virtue signal over being green greta gretathunberg howdareyou climatechange climateactivist climate greenenergy climatechange renewableenergy renewable carbonemission lithiumion cobalt zinc batteries battery solar wind nuclear fossilfuel,greta thunbergs arrest in germany was staged
2186,why aavin needs a halal certificate what is this new practise funding jihadi elements smartly,incredible halal on cooking butter
2643,rss chief mohan bhagwat says rahul gandhi is the leader of the future it will cost you heavily to take him as a joke his familys history tells us it will not be right to take rahul ji lightly abhi toh yatra shuru hi hui hai andfirst Bharatiya Janata Party spokespersons are made to,rss chief mohan bhagwat says rahul gandhi is the leader of the future it will cost you heavily to take him as a joke his familys history tells us it will not be right to take rahul ji lightly abhi toh yatra shuru hi hui hai andfirst Bharatiya Janata Party spokespersons are made to
1605,man do i love having this twitter account the ability to connect to so many millions of people to express my feelings and views to know that all major media outlets and world leaders are reading these words that they are recorded for posterity how awesome is that,the claim former president barack obama jokingly tweeted about president donald trumps twitter ban
1841,do you think biden should have had these documents,biden did not have the authority to declassify documents as vice president
1119,changes in noncovid19 mortality by vaccination status are largely driven by the changing composition of the vaccination status groups this is because of the prioritisation of people World Health Organization are clinically extremely vulnerable or have underlying health conditions and differences in timing of vaccination among eligible people,vaccines have led to a significant rise in mortality and journalists are writing coverup stories to explain away deaths
2002,coming soon they are trialling in oxford 15 minute cities,a road sign reading you are now leaving district 5 has been put up in oxford
1443,these are childlifters if you see anyone complain immediately,these are childlifters if you see anyone complain immediately
1973,mandatory vaccination for the European Union just went through under the radar it does not matter if the pandemic is over and the vaccine is proven fraudulent they are going for it anywayall atms will be replaced by qr code atms in the near future belgium is already installing them,recently several social media users have shared a screenshot of an article published on a montrealbased media website that claims the european council has amended resolution 2361 to no longer object against compulsory vaccination we factchecked and found the claim to be false
1944,three year old girl flew away with the kite in ahmedabad during kite festival thank god she has come down safely very scary,three year old girl flew away with the kite in ahmedabad during kite festival thank god she has come down safely very scary
911,what an unusual coincidence,infosys the company owned by rishi sunaks inlaws is an it and digital solution company registered in rwanda the United Kingdom outsources many of its immigration processes to the company
777,you cannot catch sepsis from another person,death certificates with codes from the first chapter of icd 10 show deaths that were caused by infectious disease
2478,how is the josh indians china shows in reality ghuss kr marin gy galwanvalley ladakh,pictures of martyred indian soldiers in the recent border clash between india and china in the galwan valley ladakh
329,Doctor manmohan singh arrived in parliament by taxi after becoming prime minister for the first time,salute to such simplicity what would you say about modi
2366,turkey a fire broke out in an entire residential tower in the center of bodrum,turkey a fire broke out in an entire residential tower in the center of the stricken city of bodrum
1343,some people may disregard this as one of my usual rants or wonder if i am wearing a tin foil hat yet and that is their choice all i ask is that you read below do some research and think carefully about what is coming unbelievably over 100 councils have signed up to the premise of 15 minute cities do you realise what this entails it is the premise that everything you need to survive that is a nice way to say exist but not live will be within 15 minute of your home via public transport walking or cycling should you need to go out of this zone in your car you have to apply for a pass your household gets 100 a year and one you have used them all you get fined yes you get fined for exercising your right to move freely this is the biggest single threat to our individual freedom of movement and is being voted through with total disregard to public opinion 80 of oxford residents were opposed but they are getting it anyway do your research think carefully how this will impact you now and in the future of you have concerns make them know to councillors mps and the press,under the 15 minute cities concept should you need to go out of your zone in your car you have to apply for a pass your household gets 100 a year and once you have used them all you get fined for leaving your zone
321,no candidate has ever won both florida and ohio and lost i won them both by a lot supremecourt,no candidate has ever won both florida and ohio and lost
1620,parliamentary committee on removal of human rights compulsory of covid19 vaccine wake up they are trying remove the human rights act and make the covid19 vaccine compulsory people this is a majorly rushed through unlicensed vaccines for a virus with a 99999996 survival rate link screenshot below section 10 25 a b 30 ella may moores wakeup stayawake openyoureyes openyourmind openyourheart questioneverything,a United Kingdom government document is circulating promoting mandatory covid19 vaccination
1666,first picture of ayodhya prabhu sri Random Access Memory ji,first picture of ayodhya prabhu sri Random Access Memory jis temple
2294,you will not believe teeth whitening and scaling in 1 minuteget white teeth like pearls,teeth whitening can be done using carrot turmeric and toothpaste in 1 minute
13,in honor of taxday i remind you that governor evers wanted to increase your taxes by 1 billion just for heating your homes instead republicans cut your taxes by more than 2 billion we want to keep more money in your pockets,says Governor tony evers wanted to increase your taxes by 1 billion just for heating your homes instead republicans cut your taxes by more than 2 billion
898,vaccine injuries are real yet the biden administration is still pushing to mandate an experimental vaccine on americans to engage in daily life all while vaccine manufacturers share little legal liability if injury occurs this is unjust deceitful and downright tyrannical,the claim 1 million covidvaccine injuries are reported in a Centers for Disease Control and Prevention database
172,sumitra mahajan is now the new maharashtra governor she has been an Member of Parliament from indore eight times,sumitra mahajan is new governor of maharashtra
1674,delete,islamic flag with prophets name appeared in the sky somewhere in kashmir
1943,i used to love ted talks then i saw the one where bill gates did one and said there were too many people on the planet and the only way to fix that was with a sudden rush of new vatccines that ted talk was in 2010 glad i never took that bogus shot dudes,the claim post implies bill gates wanted to control global population by killing people with vaccines
261,mbuhari is an agent of destabilisation ethnic bigot religious fanatic who if given the chance would ensure the disintegration of the country his ethnocentrism would jeopardise nigerias national unity asiwaju bola ahmed tinubu 2003 bat was right,a claim that buhari is an agent of destabilization ethnic bigot religious fanatic who if given the chance would ensure the disintegration of the country
2203,no namaz on road in uttar pradesh a new rule,visuals of uttar pradesh police lathi charge on crowd for offering namaz on road
690,i am responsible for the executive branch myself and ministers this is where we can take action and that is why we have,new zealand prime minister jacinda ardern has ordered all mps to take a 20 pay cut during covid19 crisis
902,the congress govt in punjab has set the precedent for the rest of the country when it comes to prioritising education captamarinder his govt have ensured that every child has the right to quality education,the congress government in punjab has set a precedent for the rest of the country when it comes to prioritizing education by allocating 8 of total budget to education
2558,17 september national unemployment day if students fight for their rights lathi charge on them farmer fight for their rights then lathi charge,images with a claim that students protesting against unemployment were beaten by up police
259,aboriginal children at the local tweed heads schools are being rounded up today and tomorrow to go on a bus to the minjungbal aboriginal cultural centre for a jab 12 yrs old and older no parental consent needed apparently they are coordinating with schools police and aboriginal health representatives please share to all parents keep children home as attendance at school consent 12 yr olds do not know what they are allowing into their own bodies this information is from nurse coordinators World Health Organization care,aboriginal school children aged 12 and over were taken to a covid19 vaccination centre in tweed heads without parental consent
845,before aoc hit the national stage was just a fairly unknown house candidate frm nycshe took time awy frm her campaign came dwn to tornillo to protest the tentcity housing migrant childreni made these previously unpublished fotos a yr ago today elpaso aoc onassignment,alexandria ocasiocortez weeps over empty parking lot
1892,we and other chapters of antifa around oregon have collaborated to ignite fires around the state to draw attention to the climateemergency antifafires antifariots,the Centers for Disease Control and Prevention lowered the Polymerase Chain Reaction threshold while no longer recording asymptomatic casesbut only for the vaccinated
2592,freudian slip by greta thunberg if anyone has kept up with her recently she speaks out in a different way than she used to about climate change pc realbrendamemes30,the claim greta thunberg said the climate crisis is not real
139,in a burnol movement australian high commissioner meets rssorg chief dr mohan bhagwat and acknowledges the organisation,australian high commissioner meets rssorg chief dr mohan bhagwat and acknowledges the organisations work in covid relief
1918,want a dazzling smile whiten your teeth with baking soda,quick take
1829,what is this then a meitei nurse working in ccpur rape by kuki inside the hospital and brutally killed manipurviolence letthismadnessend,this picture is of a nurse from the meitei community World Health Organization was raped and murdered inside a hospital by rioters from the kuki community
1574,in india jodo yatra cylindra is keeping a close watch on rahul gandhi for insulting him,smriti irani watching bharat jodo yatra
320,the usnatarchives thought it would be a good idea to put a harmful content warning on our nations founding documents this label is an attack on our history and undermines documents written to preserve individual liberties and fundamental rights,says the yous national archives put a harmful content warning on our nations founding documents
654,all the death harm and financial destruction done to our country over 2 years 3 months for the death of 83 people you should be in prison scottmorrisonmp and the premiers all of you,only 83 people have died solely from covid19 in australia since the start of the pandemic
2220,when the countries of the world including america are praising modi ji italy pakistan and china spies kongi sudapi kammis are working against modi ji jai namo jai Bharatiya Janata Party,european political observer named david james praised narendra modi
1,president realdonaldtrump bidens plan would mean americas seniors have no air conditioners during the summer,bidens energy plan would get rid of seniors air conditioning heat and electricity
559,electric bill in ilocos norte 74 pesos electricity bill in ilocos norte php 7464 only under the leadership of the marcoses the people of ilocos were proud of what they paid at the end of the month their electricity is very cheap compared to other places and especially in metro manila where meralco charges people thousands do you want the entire philippines to have this low electricity bill let United States join bongbong marcos,the cost of electricity in ilocos norte under the leadership of bongbong marcos and imee marcos is cheaper than in metro manila
140,yous health and human services director xavier becerra said Coronavirus Disease vaccines are killing people of color at twice the rate of white people,the Coronavirus Disease vaccine is killing more people of colour than white people
113,myelderly sic cousin World Health Organization is 77 years old lives alone in london sic borough of enfield he has two bedrooms and receives a 25 discount for a single persons sic allowance he has received a call from enfield borough council asking him to take in a ukrainian family he has said he does not want to they have said do you realise we can force you to do it he said if you force me to share my i would rather burn it down sic he has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly they said if you do not like what we are saying as he expressed his views they said we can take your 25 allowance away from you,an elderly man was told by enfield council that his single occupier council tax discount could be removed if he did not house a ukrainian family in his spare room
532,there is nothing wrong with asking why swing states that are run by democrats where trump is winning by massive margins hundreds of thousands of votes just stop counting for no reason at all total bullshit this is domestic election interference and election meddling,democratled states stopped counting votes on election night to avoid calling a trump victory
225,remember that all service stations have their storage tanks buried below ground the colder the ground the more dense the fuel when it gets warmer petrol expands so buying in the afternoon or in the evening your litre is not exactly a litre,buying petrol first thing in the morning provides better value for money as cold fuel has a higher density and therefore greater volume
724,30 mins long but well worth a watch and just what we need great work from this fella reporting a criminal offence committed by someone in public office,Polymerase Chain Reaction tests are contaminated with a dangerous gas called ethylene oxide
2276,a federal judge just ordered wisconsin must have all ballots counted by 8 pm on the day of the election,claim a federal judge just ordered wisconsin must have all ballots counted by 8 pm on the day of the election
2612,the United States doctors admit that hba1c should be in between 7 to 8 and is normal this means that if the sugar level is 250 then it is within normal the mean value of pp and fasting is 250 then you are no more diabetic,hba1c between 7 to 8 is normal
2411,existing United Kingdom asylum laws give some scope to refuse to consider an application if it is judged that the person could have claimed asylum elsewhere,under the geneva convention refugees should seek refuge in the first safe country they come to
1434,big news mulayam singh yadav ji has told union minister smriti irani ji my heartfelt wish is that yogi ji becomes the chief minister of uttar pradesh again,
326,the work has started in the morning and the mobile seems to be a mouse,a picture of aam aadmi party Member of Parliament bhagwant mann in punjab with a liquor glass near his hand
2179,he abused,World Health Organization took care of ambedkar as a child a brahmin World Health Organization took care of ambedkars education a brahmin World Health Organization gave his surname ambedkar a brahmin World Health Organization funded ambedkars foreign education a hindu nationalist king maharaja sayajirao gaekwad World Health Organization married ambedkar a brahmin lady World Health Organization married ambedkars sisters brahmins whom do ambedkarites abuse hindubrahmins what does this tell United States about them
1324,how does one country produce so many rectums how does pakistan do it here surgeons in an operation theatre get into a heated argument with nursing staff,how does one country produce so many rectums how does pakistan do it here surgeons in an operation theatre get into a heated argument with nursing staff
2269,president trump i think mailin voting is horrible it is corrupt reporter you voted by mail in floridas election last month did not you trump sure i can vote by mail reporter how do you reconcile with that trump because i am allowed to,with voting by mail you get thousands and thousands of people sitting in somebody is living room signing ballots all over the place
1459,breaking update a newborn baby has been found in essex this morning by the police let United States spread the word and help identifying sic World Health Organization this newborn baby belongs to,a newborn baby was just found in essex by police
2092,incidences of hepatitis is sic also hitting the 11 16 year old age group,the recent rise in cases of hepatitis in children is primarily affecting children aged one month to four years old World Health Organization have been actively breastfed in the last 12 months all the children were breastfed by vaccinated mothers
2534,consuming raw onion with salt will turn Coronavirus Disease positive person to negative in just 15 minutes,consuming raw onion with salt will turn Coronavirus Disease positive person to negative in just 15 minutes
715,somebody posted this revolution image last night Facebook deleted it here is is again france is standing up no more banksters control no more fake Coronavirus Disease controls no more money financial controls liberty equality fraternity,somebody posted this revolution image last night Facebook deleted it here is is again france is standing up no more banksters control no more fake Coronavirus Disease controls no more money financial controls liberty equality fraternity
847,elon musk going to buy facebook and he will delete it same as what facebook did to friendster oh my god karma is real,elon musk going to buy facebook and he will delete it same as what facebook did to friendster oh my god karma is real
194,myelderly sic cousin World Health Organization is 77 years old lives alone in london sic borough of enfield he has two bedrooms and receives a 25 discount for a single persons sic allowance he has received a call from enfield borough council asking him to take in a ukrainian family he has said he does not want to they have said do you realise we can force you to do it he said if you force me to share my i would rather burn it down sic he has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly they said if you do not like what we are saying as he expressed his views they said we can take your 25 allowance away from you,an elderly man was told by enfield council that his single occupier council tax discount could be removed if he did not house a ukrainian family in his spare room
1465,boiled cinnamon and honey is the cure for cancer arthritis cholesterol and many more health problems,a social media post claims that honey and cinnamon together can cure a long list of diseases such as cancer arthritis et cetera we factchecked and found this claim to be mostly false
574,distracted aam aadmi tharkikejriwal,distracted aam aadmi tharkikejriwal
